user_id,login_time,ip_address,device_id,latitude,longitude,country,city,isp
350,2026-02-06 15:01:33,132.28.93.130,6cd8aa78-3bb7-4540-a5f2-781687e3feac,-31.01172656847261,107.45458678805085,Central African Republic,West Leahville,Airtel
839,2026-03-01 15:01:07,18.122.249.56,86153b3f-b40d-46ac-affc-92ddfbc414a6,-84.09224869436471,9.422415945100056,Indonesia,Port Johnland,DataCenterISP
997,2026-02-26 21:10:06,47.114.108.233,ac82b4ef-7c55-40ea-9ec4-28d2ae7b8a62,32.50220789189946,84.89585975370312,Switzerland,Jordanview,Vodafone
629,2026-03-01 18:12:39,180.159.215.175,1c975c7c-8e92-4195-ad4c-c41a580eabba,-71.36155976193064,22.274248020577687,Tanzania,East Jessicashire,Jio
549,2026-02-08 04:48:59,203.154.11.236,27e13b43-fc5b-46ad-bf4b-ec0c15a57dab,-19.14450683541216,137.99422093426512,Congo,North Stephanieland,Vodafone
432,2026-02-25 17:55:26,131.186.203.222,05f3fd1a-6c36-4acf-8a30-338996e53afd,-25.716440458856113,-159.97953865650106,Senegal,Stevenside,DataCenterISP
589,2026-02-13 14:44:35,32.124.186.148,381a161a-d5b0-43c5-9f57-c918c61030ae,-73.69240482909277,168.13382002776035,Afghanistan,West Susan,Jio
234,2026-01-31 22:36:10,132.217.249.171,2c1881f9-1749-4d94-9c3a-9cea6e0938fe,-31.00385711169551,137.59498569825524,Malaysia,South Andrea,Vodafone
347,2026-02-18 02:36:14,135.249.90.86,aa7e1ab0-bed9-4b53-b9f1-399b1f8cdbab,8.882767244317492,140.6218356845966,Azerbaijan,Abbottmouth,Vodafone
387,2026-02-09 13:33:44,117.20.127.86,f865f18b-1291-49ed-9ed8-a71f79650785,12.964179484848543,-148.705350798571,Norfolk Island,North Jacquelinemouth,DataCenterISP
641,2026-03-01 18:14:28,181.178.62.83,734f0ffb-a9ab-4174-ab60-101298974dbc,-56.02983830152671,-68.41378663897183,Guinea-Bissau,Meganborough,DataCenterISP
517,2026-02-11 22:14:22,161.105.40.248,9ad4c147-d438-4e6b-8b1d-cc45265cf952,-9.660398170374606,133.89398773397687,Turks and Caicos Islands,Sarahport,Jio
323,2026-02-20 04:57:41,98.146.28.87,62ac0eda-f7d6-451c-a2ee-1ca6d3a46714,31.089043708717,146.60386888314315,Myanmar,Whiteburgh,Jio
505,2026-02-21 16:02:41,68.163.77.139,19b1934b-8587-4e3d-ad16-73ad39a208fa,2.4135918549048228,-17.783296974701756,Norfolk Island,West Donaldland,DataCenterISP
78,2026-02-25 09:58:16,57.195.244.206,ea2c33d4-dbd1-4c73-beed-e8606a2ec379,-84.30020273576,65.40113268578719,Equatorial Guinea,Jeffreyburgh,Jio
607,2026-02-17 09:25:47,151.61.169.192,55a73392-a9a7-46d4-8d20-aeb31801c7f9,-47.51867895638774,-78.02593515834629,Mexico,Mirandafurt,Airtel
219,2026-02-24 07:37:01,103.223.12.52,b518d12b-c96e-40dd-83fd-a20b4c9dd382,4.462799451676247,169.21944640435322,Uzbekistan,Jonathanshire,Vodafone
672,2026-02-22 11:20:48,192.146.71.90,3ec4472e-1486-46d7-9e72-2abcff82ea69,-10.817495385544106,-137.23659710304617,Burundi,East Gabriela,Vodafone
183,2026-02-05 04:45:41,64.97.14.13,a381b382-718c-416e-8a8d-4ed098b15d9c,54.135013643639695,-32.632469303292766,Falkland Islands (Malvinas),East Michael,Airtel
125,2026-02-25 00:41:20,1.62.136.100,a22873fe-c635-4ad3-b746-59c416a2ed63,-73.46276038557039,-174.91857505728572,Cape Verde,West Karenchester,DataCenterISP
983,2026-02-12 16:11:14,178.77.242.133,63e3e3c2-6fd1-4b46-b0e6-591621c9b8d0,-29.278826240603934,-124.47295605438035,Armenia,Stephaniefort,Vodafone
69,2026-02-11 17:58:35,52.2.210.180,9c6b1a49-d0fc-404a-936a-01299e195217,-80.28552891641104,-61.63842451857694,Lebanon,New Henryport,Jio
127,2026-02-12 12:47:37,133.232.29.220,0a4affea-fedf-4e83-a70e-4b45e712e668,74.99191545142907,-75.33647269684536,Northern Mariana Islands,Lake Jenniferfurt,Jio
910,2026-03-01 21:23:02,164.77.229.82,5e4fcc59-dd91-4976-8d40-7378e140a12e,-0.3090480590701361,9.176320119677968,San Marino,Alvarezville,DataCenterISP
198,2026-02-25 12:55:46,101.66.71.193,70cfab7c-a399-49ba-bab0-6f475477dafd,20.575388902762327,-142.8736550311022,Montserrat,Sherryhaven,Airtel
492,2026-02-26 09:04:13,174.44.196.205,67c1ed27-da3a-4460-92ea-c30d1ed10d44,-78.25479603560247,109.61442158881783,Samoa,Lisamouth,DataCenterISP
176,2026-02-23 04:06:02,217.15.12.100,a3f70e86-4c68-44b4-9882-cf917ccd1a02,-16.991412424246988,24.836604663767332,Panama,Pittsberg,DataCenterISP
